file_key,target,hemisphere,neuron,firing_rate,burst_index,cv,burst_durations,spike_power,lfp_theta_power,lfp_alpha_power,lfp_lowbeta_power,lfp_highbeta_power
neuron_001,STN,R,STN,66.63814663683033,2.780867584693718,0.547945205479452,"(0.21239999999999987, 0.21799999999999997, 0.14499999999999988, 0.15116666666666664)","(-11.52275355374886, -15.091985578730558, -9.26670979470501, -12.611794515414267)",-0.8459705486625503,-2.497352626933726,4.919687675509993,2.591192668478153
neuron_002,GPi,L,BOR,51.339916072552164,12.587939942208912,0.507537688442211,"(0.16666666666666696, 0.2144999999999996, 0.16699999999999982, 0.15719999999999948)","(-13.488602110905376, -13.633038069369103, -14.36037043479879, -14.324283077837078)",-4.57764813327158,-5.486800244454841,-1.1284027905072187,-2.38085798333806
neuron_003,GPi,R,BOR,43.504611879035075,2.9146233728351087,0.5622317596566524,"(0.15200000000000014, 0.11399999999999999, 0.11200000000000039, 0.1452500000000001)","(-13.761218089552617, -12.923233969759924, -12.739092090650054, -12.219130543004686)",6.779570048597595,25.791566658778954,19.002257590176274,3.7501243763362946
neuron_004,GPi,L,BOR,80.59399618927543,2.4343153188780198,0.4852941176470588,"(0.0, 0.126, 0.13221052631578925, 0.1449473684210522)","(-15.50563541076092, -14.452351271228686, -12.168187229598907, -12.735551332737685)",7.695076397322612,23.196046815576036,16.291198816150086,2.295830135730244
neuron_005,GPi,L,BOR,81.72669804446721,3.8436210456853024,0.5656565656565656,"(0.10299999999999931, 0.0, 0.18242857142857175, 0.21299999999999997)","(-15.459851960504295, -13.063757219472151, -12.530806414077109, -7.706385292673598)",3.672957037284087,25.448158827387566,15.246790280647621,6.949562661601986
neuron_006,GPi,L,BOR,90.55149596753829,2.691922605358254,0.4954954954954955,"(0.11900000000000066, 0.19719999999999976, 0.14888888888888877, 0.17366666666666664)","(-14.708455204789889, -12.742884118944833, -13.515197468876263, -12.475104673594299)",4.475405387486101,8.355659078067317,4.787811367286367,5.467503934715295
neuron_007,GPi,L,HFD,109.89894657839014,3.1295606503715927,0.38461538461538464,"(0.1259999999999999, 0.19600000000000017, 0.1175000000000001, 0.1326666666666667)","(-12.263592035890694, -13.093622849856983, -12.614536906657907, -14.081758528248745)",1.0893795953964371,5.1718008027677325,3.7879370724957857,9.23377167311012
neuron_008,GPi,L,BOR,93.90386274808387,2.637248387921792,0.5044642857142857,"(0.0, 0.0, 0.12159999999999975, 0.13200000000000017)","(-14.227534223757178, -14.581698045029711, -12.233386414078902, -11.579423058849157)",-6.489023488852846,-5.320896305727501,3.344004844842699,4.934943688764093
neuron_009,GPi,R,BOR,30.678481480440087,3.7407118656940836,0.6642599277978339,"(0.198, 0.13333333333333286, 0.14045454545454517, 0.1361111111111113)","(-13.077459083104587, -13.179200708415593, -12.819924683905601, -12.427035285200851)",7.557712414508511,15.799322967678401,18.457205955822428,10.403504172488091
neuron_010,GPi,L,BOR,71.75153217117929,2.723428810883587,0.5434782608695652,"(0.0, 0.0, 0.11599999999999999, 0.11300000000000021)","(-12.17958989392994, -14.352999618133335, -13.976090245785082, -9.068889252544956)",1.778784520084138,0.5509058394815348,1.5264770739541857,0.7154338788104454
neuron_011,STN,L,SNr,73.21149988856698,2.1773014360956227,0.2953020134228188,"(0.0, 0.0, 0.0, 0.16999999999999993)","(-14.092676021486671, -15.065496240432832, -14.984586194543962, -12.63285944822924)",23.917511516812326,35.93370271037928,16.595231671234146,7.873775389828989
neuron_012,GPi,L,BOR,73.2403962056496,3.5404943092117462,0.5092592592592593,"(0.23499999999999993, 0.23371428571428554, 0.20555555555555546, 0.19657142857142862)","(-12.76092770645336, -15.246288264438741, -10.928969179308902, -15.119430333934702)",10.801968986070738,17.74030541247601,14.30186111852552,5.105702146507367
neuron_013,GPi,R,HFD,125.16244487526366,2.3192044048578606,0.37349397590361444,"(0.15299999999999941, 0.154, 0.15700000000000022, 0.13400000000000034)","(-12.946591163418354, -14.529507031890143, -14.5749946200632, -13.831331397353107)",13.216854657223902,14.707093368210133,23.45683685395162,5.771195889630436
neuron_014,GPi,L,HFD,60.45633866929673,2.1198606103491215,0.2837209302325581,"(0.0, 0.0, 0.0, 0.0)","(-16.764454860083415, -16.624308560447208, -16.403755268391144, -14.366893355280299)",12.600122107271927,20.18928395487159,27.090261413502933,4.595859209710566
neuron_015,STN,L,SNr,138.90464717385356,2.345952005759168,0.3287671232876712,"(0.16240000000000002, 0.1805714285714286, 0.16066666666666674, 0.15525000000000005)","(-12.465696903966334, -15.07802924052462, -14.340589236752379, -13.853236964777608)",12.845909663509376,11.171001953180879,14.191150341682214,8.101178384792531
neuron_016,GPi,L,BOR,65.5682782354947,3.2686276036155864,0.5214285714285715,"(0.15800000000000003, 0.2295999999999995, 0.14115789473684212, 0.1620000000000006)","(-11.576939164271076, -14.459772458327913, -13.381058557028602, -13.553238030833652)",-3.2797601939244614,15.607658561349007,13.32949853552416,6.775867208520482
neuron_017,GPi,R,HFD,60.746893355176425,2.741127025861822,0.4327485380116959,"(0.17599999999999993, 0.1726666666666666, 0.14863636363636362, 0.16474999999999956)","(-15.099160006583553, -13.780459317393223, -13.224107233742997, -12.450769988419045)",3.1086959219129904,19.15085651962237,15.011982417599953,4.589756117018784
neuron_018,GPi,R,BOR,71.03738221335719,4.250622982918265,0.5981308411214953,"(0.25279999999999986, 0.18399999999999994, 0.1489, 0.15458823529411767)","(-12.528938712878524, -13.31245669736206, -12.117254447368296, -12.553090915652135)",5.893093769716899,15.716220257881979,13.657786321952806,5.833925076575918
neuron_019,GPi,R,BOR,89.06889059304706,3.2280994456454613,0.4803921568627451,"(0.19057142857142825, 0.16933333333333378, 0.133625, 0.15769999999999978)","(-12.964969991870486, -12.992303743549321, -13.746876469422189, -12.505197993559133)",-2.6940919855942385,0.6958412082816824,2.7274400771524236,1.6790802478357851
